frame,x,y
0,-0.019984237849712372,-0.05054522678256035
1,-0.019990216940641403,-0.05053692311048508
2,-0.02000248432159424,-0.05055557191371918
3,-0.020021002739667892,-0.0505545437335968
4,-0.02002502977848053,-0.05056575685739517
5,-0.019974909722805023,-0.05057721957564354
6,-0.019979894161224365,-0.05056365951895714
7,-0.01976212114095688,-0.05048172175884247
8,-0.01932331547141075,-0.050388090312480927
9,-0.01958155259490013,-0.05018743500113487
10,-0.01920856162905693,-0.05008186399936676
11,-0.01909623295068741,-0.050274550914764404
12,-0.019704952836036682,-0.05015990883111954
13,-0.019717954099178314,-0.049574077129364014
14,-0.019643224775791168,-0.049375519156455994
15,-0.019667617976665497,-0.049830421805381775
16,-0.019973762333393097,-0.048925403505563736
17,-0.01906140148639679,-0.047455400228500366
18,-0.01912669837474823,-0.048351846635341644
19,-0.019644830375909805,-0.04865674301981926
20,-0.019451819360256195,-0.047442302107810974
21,-0.019393831491470337,-0.04741033911705017
22,-0.020668931305408478,-0.046588219702243805
23,-0.021218933165073395,-0.046429120004177094
24,-0.022625967860221863,-0.04613673686981201
25,-0.022263437509536743,-0.046947747468948364
26,-0.022337034344673157,-0.047216325998306274
27,-0.02272569015622139,-0.045806802809238434
28,-0.024132944643497467,-0.04602111876010895
29,-0.024206101894378662,-0.04675811529159546
30,-0.026149392127990723,-0.04694611206650734
31,-0.024492278695106506,-0.04759203642606735
32,-0.02297063171863556,-0.04898494482040405
33,-0.02427046000957489,-0.04647037014365196
34,-0.022386156022548676,-0.04828411340713501
35,-0.0236058309674263,-0.046222664415836334
36,-0.024966269731521606,-0.04385685175657272
37,-0.024639181792736053,-0.04567793011665344
38,-0.024513214826583862,-0.04383442550897598
39,-0.024556539952754974,-0.045424796640872955
40,-0.024955563247203827,-0.04578869044780731
41,-0.023958034813404083,-0.046419598162174225
42,-0.022124622017145157,-0.04652825742959976
43,-0.023194868117570877,-0.046433430165052414
44,-0.024981927126646042,-0.048091549426317215
45,-0.024753227829933167,-0.047252945601940155
46,-0.02693779021501541,-0.04727879911661148
47,-0.027884963899850845,-0.046504877507686615
48,-0.02681555598974228,-0.04532978683710098
49,-0.025595523416996002,-0.047088731080293655
50,-0.02511061355471611,-0.04743613302707672
51,-0.02483006939291954,-0.04640357196331024
52,-0.025264635682106018,-0.04751306027173996
53,-0.026544183492660522,-0.04658415913581848
54,-0.027047600597143173,-0.046927593648433685
55,-0.028116367757320404,-0.04560250788927078
56,-0.027908947318792343,-0.0458110049366951
57,-0.02745669335126877,-0.0461091548204422
58,-0.026266641914844513,-0.04679521918296814
59,-0.027133993804454803,-0.0465778224170208
60,-0.025845035910606384,-0.04656179994344711
61,-0.027173809707164764,-0.046577826142311096
62,-0.025484196841716766,-0.04694529250264168
63,-0.02581598609685898,-0.04675868898630142
64,-0.026789844036102295,-0.046386294066905975
65,-0.025643683969974518,-0.04704519361257553
66,-0.02516581490635872,-0.04667067527770996
67,-0.025504447519779205,-0.046845316886901855
68,-0.025565095245838165,-0.04665569216012955
69,-0.025689683854579926,-0.04739391431212425
70,-0.02635827660560608,-0.04740966111421585
71,-0.02757798507809639,-0.04820221662521362
72,-0.02815527841448784,-0.04778340458869934
73,-0.027643293142318726,-0.04842037707567215
74,-0.027124769985675812,-0.04854458197951317
75,-0.025883749127388,-0.04944717511534691
76,-0.027896404266357422,-0.04932691156864166
77,-0.026173681020736694,-0.04983370751142502
78,-0.02423102781176567,-0.04987974464893341
79,-0.023931629955768585,-0.048957813531160355
80,-0.024953428655862808,-0.04909461364150047
81,-0.02522670477628708,-0.04973980039358139
82,-0.026478096842765808,-0.049738965928554535
83,-0.027491621673107147,-0.05101226270198822
84,-0.023373737931251526,-0.05075906217098236
85,-0.023239709436893463,-0.049368858337402344
86,-0.022790223360061646,-0.04993904381990433
87,-0.023418061435222626,-0.05027051270008087
88,-0.022595547139644623,-0.05176582187414169
89,-0.022865138947963715,-0.05259609967470169
90,-0.02332555502653122,-0.0531548336148262
91,-0.022612180560827255,-0.05403393507003784
92,-0.022703588008880615,-0.05484271049499512
93,-0.023008480668067932,-0.0539957731962204
94,-0.02143465355038643,-0.056198909878730774
95,-0.021988220512866974,-0.05367578566074371
96,-0.021526791155338287,-0.05496526509523392
97,-0.0215461328625679,-0.05515797436237335
98,-0.021476231515407562,-0.0551602803170681
99,-0.024229757487773895,-0.0555352158844471
100,-0.02363317459821701,-0.0558311827480793
101,-0.02366819977760315,-0.05589864403009415
102,-0.02399001270532608,-0.05661417543888092
103,-0.022283613681793213,-0.05706761032342911
104,-0.022136319428682327,-0.05702119320631027
105,-0.022424720227718353,-0.05417115241289139
106,-0.022496551275253296,-0.053820475935935974
107,-0.022496551275253296,-0.053820475935935974
108,-0.023387737572193146,-0.05384931340813637
109,-0.022752374410629272,-0.05604276806116104
110,-0.02264915406703949,-0.05603140965104103
111,-0.021578744053840637,-0.05501830577850342
112,-0.021584928035736084,-0.05569647252559662
113,-0.021573960781097412,-0.05570177361369133
114,-0.024645160883665085,-0.054643187671899796
115,-0.025739677250385284,-0.05474752560257912
116,-0.025691978633403778,-0.05474769324064255
117,-0.024034574627876282,-0.055147577077150345
118,-0.024672314524650574,-0.0555417537689209
119,-0.024704881012439728,-0.055514197796583176
120,-0.025032244622707367,-0.053413886576890945
121,-0.0255805104970932,-0.05210241675376892
122,-0.02554454654455185,-0.05214022845029831
123,-0.023328199982643127,-0.052026499062776566
124,-0.02394900470972061,-0.051552943885326385
125,-0.02400348335504532,-0.05148018151521683
126,-0.024206742644309998,-0.05122847110033035
127,-0.02399814873933792,-0.05042886734008789
128,-0.023961365222930908,-0.05046677589416504
129,-0.024467848241329193,-0.052613358944654465
130,-0.023379050195217133,-0.05293706804513931
131,-0.023418419063091278,-0.052905671298503876
132,-0.024952933192253113,-0.052724115550518036
133,-0.024774957448244095,-0.05226976424455643
134,-0.02475326508283615,-0.052280306816101074
135,-0.0226714089512825,-0.054564230144023895
136,-0.022594399750232697,-0.05395011603832245
137,-0.02267139032483101,-0.05386010929942131
138,-0.02259313315153122,-0.05305934697389603
139,-0.022992394864559174,-0.052652567625045776
140,-0.02308986708521843,-0.05279012769460678
